subject,predicate,object
UpdateTime,asDateTime,xsd:dateTime
NodeWithAttributes,hasModelVersion,ModelVersion
Public,asBoolean,xsd:boolean
Organization,hasRORID,xsd:anyURI
Notes,asString,xsd:string
NodeWithAttributes,hasUpdateUser,UpdateUser
ModelVersion,asString,xsd:string
NodeWithAttributes,hasUpdateTime,UpdateTime
CreationTime,asDateTime,xsd:dateTime
NodeWithAttributes,hasName,xsd:string
Locked,asBoolean,xsd:boolean
NodeWithAttributes,hasResearchGroup,Organization
NodeWithAttributes,hasCreationTime,CreationTime
NodeWithAttributes,isPublic,Public
NodeWithAttributes,relatedTo,Node
UpdateUser,relatedTo,User
NodeWithAttributes,isLocked,Locked
CreationUser,relatedTo,User
NodeWithAttributes,hasNotes,Notes
NodeWithAttributes,hasCreationUser,CreationUser
