subject,predicate,object
ViscoelasticProperty,relatedTo,PhysicalProperty
TensileCreepCompliance,relatedTo,ViscoelasticProperty
FlexuralCreepRuptureStrain,relatedTo,FlexuralCreep
FlexuralCreepRuptureTime,relatedTo,FlexuralCreep
FlexuralCreepRuptureStrength,relatedTo,FlexuralCreep
TensileCreepRecovery,relatedTo,TensileCreep
CompressiveCreepRuptureTime,relatedTo,CompressiveCreep
TensileCreepRuptureStrength,relatedTo,TensileCreep
CompressiveCreepRuptureTime,relatedTo,ViscoelasticProperty
TensileCreepRuptureTime,relatedTo,TensileCreep
CompressiveCreep,relatedTo,ViscoelasticProperty
PhysicalProperty,relatedTo,Property
CompressiveCreepRuptureStrength,relatedTo,CompressiveCreep
CompressiveCreepStrain,relatedTo,CompressiveCreep
TensileCreepStrain,relatedTo,TensileCreep
TensileCreepModulus,relatedTo,TensileCreep
CompressiveCreepRuptureStrength,relatedTo,ViscoelasticProperty
FlexuralCreep,relatedTo,ViscoelasticProperty
TensileCreep,relatedTo,ViscoelasticProperty
CompressiveCreepStrain,relatedTo,ViscoelasticProperty
TensileCreepRecovery,relatedTo,ViscoelasticProperty
TensileCreepCompliance,relatedTo,TensileCreep
TensileCreepRuptureStrength,relatedTo,ViscoelasticProperty
TensileCreepRuptureTime,relatedTo,ViscoelasticProperty
TensileCreepModulus,relatedTo,ViscoelasticProperty
FlexuralCreepRuptureStrain,relatedTo,ViscoelasticProperty
FlexuralCreepRuptureTime,relatedTo,ViscoelasticProperty
FlexuralCreepRuptureStrength,relatedTo,ViscoelasticProperty
TensileCreepStrain,relatedTo,ViscoelasticProperty
